time_bin,avg_body_favor_agreement,avg_body_against_agreement,avg_favor_against_agreement,consistency_variance
Questions 1-27,0.5784832451499119,0.562610229276896,0.5820105820105821,0.09291668550927812
Questions 28-54,0.6419753086419754,0.5291005291005291,0.5555555555555556,0.08149913970019791
Questions 55-81,0.5749559082892416,0.5149911816578483,0.5520282186948854,0.09519287297065075
Questions 82-108,0.63668430335097,0.47795414462081115,0.49911816578483237,0.09413337984766557
Questions 109-137,0.5648604269293924,0.5254515599343186,0.5500821018062397,0.08653455908909817
