model,avg_cluster_size,outlier_rate,total_analyzed,cluster_size_std
deepseek-chat-v3.1,4.085158150851582,0.15571776155717762,411,2.3167744717797842
gemma-3-27b,4.034063260340632,0.14841849148418493,411,2.334301040739215
gpt-5-nano,4.092457420924574,0.13138686131386862,411,2.317019762342839
grok-4-fast,4.131386861313868,0.13381995133819952,411,2.30037821363447
kimi-k2,3.51338199513382,0.3795620437956204,411,2.5519785745248673
nemotron-nano-9b,4.0535279805352795,0.1435523114355231,411,2.3203439549274645
